,codes,names
123,BNA,CTCP Đầu tư Sản xuất Bảo Ngọc
124,BNW,CTCP Nước sạch Bắc Ninh
125,BOT,CTCP BOT Cầu Thái Hà
126,BPC,CTCP VICEM Bao bì Bỉm Sơn
127,BPW,CTCP Cấp thoát nước Bình Phước
128,BQB,CTCP Bia Hà Nội - Quảng Bình
129,BRC,CTCP Cao su Bến Thành
130,BRR,CTCP Cao su Bà Rịa
131,BRS,CTCP Dịch vụ Đô thị Bà Rịa
132,BSA,CTCP Thủy điện Buôn Đôn
133,BSC,CTCP Dịch vụ Bến Thành
134,BSD,"CTCP Bia, Rượu Sài Gòn - Đồng Xuân"
135,BSG,CTCP Xe khách Sài Gòn
136,BSH,CTCP Bia Sài Gòn - Hà Nội
137,BSI,CTCP Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam
138,BSL,CTCP Bia Sài Gòn - Sông Lam
139,BSP,CTCP Bia Sài Gòn - Phú Thọ
140,BSQ,CTCP Bia Sài Gòn - Quảng Ngãi
141,BSR,CTCP Lọc hóa Dầu Bình Sơn
142,BST,CTCP Sách và Thiết bị Bình Thuận
143,BT1,CTCP Bảo vệ Thực vật 1 Trung Ương
144,BT6,CTCP Beton 6
145,BTB,CTCP Bia Hà Nội - Thái Bình
146,BTD,CTCP Bê tông Ly tâm Thủ Đức
147,BTG,CTCP Bao bì Tiền Giang
148,BTH,CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội
149,BTN,CTCP Gạch Tuy Nen Bình Định
150,BTP,CTCP Nhiệt điện Bà Rịa
151,BTR,CTCP Đường sắt Bình Trị Thiên
152,BTS,CTCP Xi măng VICEM Bút Sơn
153,BTT,CTCP Thương mại Dịch vụ Bến Thành
154,BTU,CTCP Công trình Đô thị Bến Tre
155,BTV,CTCP Dịch vụ Du lịch Bến Thành
156,BTW,CTCP Cấp nước Bến Thành
157,BUD,CTCP Khoa học Công nghệ Việt Nam
158,BVB,Ngân hàng TMCP Bản Việt
159,BVG,CTCP GROUP BẮC VIỆT
160,BVH,Tập đoàn Bảo Việt
161,BVN,CTCP Bông Việt Nam
162,BVS,CTCP Chứng khoán Bảo Việt
163,BWA,CTCP Cấp thoát nước và Xây dựng Bảo Lộc
164,BWE,CTCP Nước - Môi trường Bình Dương
165,BWS,CTCP Cấp nước Bà Rịa - Vũng Tàu
166,BXH,CTCP VICEM Bao bì Hải Phòng
167,BXT,Ban Quản lý và Điều hành Bến xe tàu
168,C12,CTCP Cầu 12
169,C21,CTCP Thế Kỷ 21
170,C22,CTCP 22
171,C32,CTCP CIC39
172,C36,CTCP Quản lý và Xây dựng Công trình Giao thông 236
173,C47,CTCP Xây dựng 47
174,C4G,CTCP Tập đoàn CIENCO4
175,C69,CTCP Xây dựng 1369
176,C71,CTCP 471
177,C92,CTCP Xây dựng và Đầu tư 492
178,CAB,CTCP Tổng Công ty Truyền hình Cáp Việt Nam
179,CAD,CTCP Chế biến và Xuất nhập khẩu Thủy sản Cadovimex
180,CAG,CTCP Cảng An Giang
181,CAM,CTCP Môi trường đô thị Cà Mau
182,CAN,CTCP Đồ hộp Hạ Long
183,CAP,CTCP Lâm Nông sản Thực phẩm Yên Bái
184,CAT,CTCP Thủy sản Cà Mau
185,CAV,CTCP Dây Cáp điện Việt Nam
186,CBC,CTCP Chè Bàu Cạn
187,CBI,CTCP Gang thép Cao Bằng
188,CBS,CTCP Mía Đường Cao Bằng
189,CC1,Tổng Công ty Xây dựng Số 1 - CTCP
190,CC4,CTCP Đầu tư và Xây dựng Số 4
191,CCA,CTCP Xuất nhập khẩu Thuỷ sản Cần Thơ
192,CCH,CTCP Tư vấn và Đầu tư Xây dựng CCIC Hà Nội
193,CCI,CTCP Đầu tư Phát triển Công nghiệp Thương mại Củ Chi
194,CCL,CTCP Đầu Tư và Phát triển Đô Thị Dầu khí Cửu Long
195,CCM,CTCP khoáng sản và Xi măng Cần Thơ
196,CCP,CTCP Cảng Cửa Cấm Hải Phòng
197,CCR,CTCP Cảng Cam Ranh
198,CCT,CTCP Cảng Cần Thơ
199,CCV,CTCP Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam
200,CDC,CTCP Chương Dương
201,CDG,CTCP Cầu Đuống
202,CDH,CTCP Công trình Công cộng và Dịch vụ Du lịch Hải Phòng
203,CDN,CTCP Cảng Đà Nẵng
204,CDO,CTCP Tư vấn Thiết kế và Phát triển Đô thị
205,CDP,CTCP Dược phẩm Trung ương Codupha
206,CDR,CTCP Xây dựng Cao su Đồng Nai
207,CE1,CTCP Xây dựng và Thiết bị Công nghiệp CIE1
208,CEC,CTCP Thiết kế Công Nghiệp Hóa chất
209,CEE,CTCP Xây dựng Hạ tầng CII
210,CEG,CTCP Tập đoàn Xây dựng và Thiết bị Công nghiệp
211,CEN,CTCP CENCON Việt Nam
212,CEO,CTCP Tập đoàn C.E.O
213,CET,CTCP Tech – Vina
214,CFC,CTCP Cafico Việt Nam
215,CFM,CTCP Đầu tư CFM
216,CFV,CTCP Cà phê Thắng Lợi
217,CGL,CTCP Thương mại Gia Lai
218,CGV,CTCP Sành sứ Thủy tinh Việt Nam
219,CH5,CTCP Xây dựng Số 5 Hà Nội
220,CHC,CTCP Cẩm Hà
221,CHP,CTCP Thủy điện Miền Trung
222,CHS,CTCP Chiếu sáng Công cộng Thành phố Hồ Chí Minh
223,CI5,CTCP Đầu Tư Xây dựng Số 5
224,CIA,CTCP Dịch vụ Sân bay Quốc tế Cam Ranh
225,CID,CTCP Xây dựng và Phát triển Cơ sở Hạ tầng
226,CIG,CTCP COMA 18
227,CII,CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh
228,CIP,CTCP Xây lắp và Sản xuất Công nghiệp
229,CJC,CTCP Cơ điện Miền Trung
230,CKA,CTCP Cơ Khí An Giang
231,CKD,CTCP Cơ khí Đông Anh LICOGI
232,CKG,CTCP Tập đoàn Tư vấn Đầu tư và Xây dựng Kiên Giang
233,CKH,CTCP Cơ khí Chế Tạo Hải Phòng
234,CKV,CTCP COKYVINA
235,CLC,CTCP Cát Lợi
236,CLG,CTCP Đầu tư và Phát triển Nhà đất COTEC
237,CLH,CTCP Xi măng La Hiên VVMI
238,CLL,CTCP Cảng Cát Lái
239,CLM,CTCP Xuất nhập khẩu Than - Vinacomin
240,CLW,CTCP Cấp nước Chợ Lớn
241,CLX,CTCP Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX)
242,CMC,CTCP Đầu tư CMC
243,CMD,CTCP Vật liệu Xây dựng và Trang trí nội thất Thành phố Hồ Chí Minh
244,CMF,CTCP Thực phẩm Cholimex
245,CMG,CTCP Tập đoàn Công nghệ CMC
246,CMI,CTCP CMISTONE Việt Nam
247,CMK,CTCP Cơ khí Mạo Khê - Vinacomin
248,CMN,CTCP Lương thực Thực phẩm Colusa - Miliket
249,CMP,CTCP Cảng Chân Mây
250,CMS,CTCP CMVIETNAM
251,CMT,CTCP Công nghệ Mạng và Truyền thông
252,CMV,CTCP Thương nghiệp Cà Mau
253,CMW,CTCP Cấp nước Cà Mau
254,CMX,CTCP Camimex Group
255,CNC,CTCP Công nghệ Cao Traphaco
256,CNG,CTCP CNG Việt Nam
257,CNN,CTCP Tư vấn Công nghệ Thiết bị và Kiểm Định Xây dựng - Coninco
258,CNT,CTCP Xây dựng và Kinh doanh Vật tư
259,COM,CTCP Vật tư Xăng Dầu
260,CPA,CTCP Cà phê Phước An
261,CPC,CTCP Thuốc sát trùng Cần Thơ
262,CPH,CTCP Phục vụ Mai táng Hải Phòng
263,CPI,CTCP Đầu tư Cảng Cái Lân
264,CPW,CTCP Công trình Giao thông Công chánh
265,CQN,CTCP Cảng Quảng Ninh
266,CQT,CTCP Xi măng Quán Triều VVMI
267,CRC,CTCP Create Capital Việt Nam
268,CRE,CTCP Bất động sản Thế Kỷ
269,CSC,CTCP Tập đoàn COTANA
270,CSI,CTCP Chứng khoán Kiến thiết Việt Nam
271,CSM,CTCP Công nghiệp Cao su Miền Nam
272,CSV,CTCP Hóa chất Cơ bản Miền Nam
273,CT3,CTCP Đầu tư và Xây dựng Công trình 3
274,CT5,CTCP 319.5
275,CT6,CTCP Công trình 6
276,CTA,CTCP Vinavico
277,CTB,CTCP Chế tạo Bơm Hải Dương
278,CTC,CTCP Gia Lai CTC
279,CTD,CTCP Xây dựng Coteccons
280,CTF,CTCP City Auto
281,CTG,Ngân hàng TMCP Công Thương Việt Nam
282,CTI,CTCP Đầu tư Phát triển Cường Thuận IDICO
283,CTN,CTCP Xây dựng Công trình ngầm
284,CTP,CTCP Minh Khang Capital Trading Public
285,CTR,Tổng Công ty cổ phần Công trình Viettel
286,CTS,CTCP Chứng khoán Ngân hàng Công thương Việt Nam
287,CTT,CTCP Chế tạo Máy - Vinacomin
288,CTW,CTCP Cấp thoát nước Cần Thơ
289,CTX,Tổng Công ty cổ phần Đầu tư Xây dựng và Thương mại Việt Nam
290,CVH,"CTCP Công viên, Cây xanh Hải Phòng"
291,CVN,CTCP Vinam
292,CVT,CTCP CMC
293,CX8,CTCP Đầu tư và Xây lắp Constrexim Số 8
294,CXH,CTCP Xe khách Hà Nội
295,CYC,CTCP Gạch men Chang Yih
296,D11,CTCP Địa ốc 11
297,D2D,CTCP Phát triển Đô thị Công nghiệp số 2
298,DAC,CTCP Viglacera Đông Anh
299,DAD,CTCP Đầu tư và Phát triển Giáo dục Đà Nẵng
300,DAE,CTCP Sách Giáo dục tại Thành phố Đà Nẵng
301,DAG,CTCP Tập đoàn Nhựa Đông Á
302,DAH,CTCP Tập đoàn Khách sạn Đông Á
303,DAP,CTCP Đông Á
304,DAR,CTCP Xe lửa Dĩ An
305,DAS,CTCP Máy - Thiết bị Dầu khí Đà Nẵng
306,DAT,CTCP Đầu tư du lịch và Phát triển Thủy sản
307,DBC,CTCP Tập đoàn Dabaco Việt Nam
308,DBD,CTCP Dược - Trang thiết bị Y tế Bình Định
309,DBH,CTCP Đường bộ Hải Phòng
310,DBM,CTCP Dược - Vật tư Y Tế Đăk Lăk
311,DBT,CTCP Dược phẩm Bến Tre
312,DBW,CTCP Cấp nước Điện Biên
313,DC1,CTCP Đầu tư Phát triển Xây dựng Số 1
314,DC2,CTCP Đầu tư - Phát triển - Xây dựng (DIC) Số 2
315,DC4,CTCP Xây dựng DIC Holdings
316,DCF,CTCP Xây dựng và Thiết kế Số 1
317,DCG,CTCP Tổng Công ty May Đáp Cầu
318,DCH,CTCP Địa chính Hà Nội
319,DCI,CTCP Công nghiệp Hóa chất Đà Nẵng
320,DCL,CTCP Dược phẩm Cửu Long
321,DCM,CTCP Phân bón Dầu khí Cà Mau
322,DCR,CTCP Gạch men Cosevco
323,DCS,CTCP Tập đoàn Đại Châu
324,DCT,CTCP Tấm lợp Vật liệu Xây dựng Đồng Nai
325,DDG,CTCP Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương
326,DDH,CTCP Đảm bảo Giao thông Đường thủy Hải Phòng
327,DDM,CTCP Hàng Hải Đông Đô
328,DDN,CTCP Dược và Thiết bị Y tế Đà Nẵng
329,DDV,CTCP DAP - VINACHEM
330,DFC,CTCP Xích líp Đông Anh
331,DGC,CTCP Tập đoàn Hóa chất Đức Giang
332,DGT,CTCP Công trình Giao thông Đồng Nai
333,DGW,CTCP Thế Giới Số
334,DHA,CTCP Hóa An
335,DHB,CTCP Phân đạm và Hóa chất Hà Bắc
336,DHC,CTCP Đông Hải Bến Tre
337,DHD,CTCP Dược Vật tư Y tế Hải Dương
338,DHG,CTCP Dược Hậu Giang
339,DHM,CTCP Thương mại và Khai thác Khoáng sản Dương Hiếu
340,DHN,CTCP Dược phẩm Hà Nội
341,DHP,CTCP Điện cơ Hải Phòng
342,DHT,CTCP Dược phẩm Hà Tây
343,DIC,CTCP Đầu tư và Thương mại DIC
344,DID,CTCP DIC - Đồng Tiến
345,DIG,Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng
346,DIH,CTCP Đầu tư Phát triển Xây dựng - Hội An
347,DKC,CTCP Chợ Lạng Sơn
348,DKH,Trung tâm Đăng kiểm phương tiện Giao thông Thủy bộ
349,DL1,CTCP Tập đoàn Năng lượng Tái tạo Việt Nam
350,DLD,CTCP Du lịch Đắk Lắk
351,DLG,CTCP Tập đoàn Đức Long Gia Lai
352,DLR,CTCP Địa ốc Đà Lạt
353,DLT,CTCP Du lịch và Thương mại - Vinacomin
354,DM7,CTCP Dệt May 7
355,DMC,CTCP Xuất nhập khẩu Y Tế Domesco
356,DNA,CTCP Điện Nước An Giang
357,DNB,Công ty TNHH MTV Sách và Thiết bị trường học tỉnh Đắk Nông
358,DNC,CTCP Điện Nước Lắp máy Hải Phòng
359,DND,CTCP Đầu tư Xây dựng và Vật liệu Đồng Nai
360,DNE,CTCP Môi trường Đô thị Đà Nẵng
361,DNH,CTCP Thủy điện Đa Nhim - Hàm Thuận - Đa Mi
362,DNL,CTCP Logistics Cảng Đà Nẵng
363,DNM,Tổng Công ty cổ phần Y tế DANAMECO
364,DNN,CTCP Cấp nước Đà Nẵng
365,DNP,CTCP Nhựa Đồng Nai
366,DNR,CTCP Đường sắt Quảng Nam - Đà Nẵng
367,DNS,CTCP Thép Đà Nẵng
368,DNT,CTCP Du lịch Đồng Nai
369,DNW,CTCP Cấp nước Đồng Nai
370,DNY,CTCP Thép DANA - Ý
371,DOC,CTCP Vật tư Nông Nghiệp Đồng Nai
372,DOP,CTCP Vận tải Xăng dầu Đồng Tháp
373,DP1,CTCP Dược phẩm Trung ương CPC1
374,DP2,CTCP Dược phẩm Trung ương 2
375,DP3,CTCP Dược phẩm Trung ương 3
376,DPC,CTCP Nhựa Đà Nẵng
377,DPD,CTCP Cao su Đồng Phú - Đắk Nông
378,DPG,CTCP Đạt Phương
379,DPH,CTCP Dược phẩm Hải Phòng
380,DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP
381,DPP,CTCP Dược Đồng Nai
382,DPR,CTCP Cao su Đồng Phú
383,DPS,CTCP Đầu tư Phát triển Sóc Sơn
384,DQC,CTCP Bóng đèn Điện Quang
385,DRC,CTCP Cao su Đà Nẵng
386,DRG,CTCP Cao su Đắk Lắk
387,DRH,CTCP DRH Holdings
388,DRI,CTCP Đầu tư Cao su Đắk Lắk
389,DRL,CTCP Thủy điện - Điện Lực 3
390,DS3,CTCP Quản lý Đường sông Số 3
391,DSC,CTCP Chứng khoán Đà Nẵng
392,DSG,CTCP Kính Viglacera Đáp Cầu
393,DSN,CTCP Công viên nước Đầm Sen
394,DSP,CTCP Dịch vụ Du lịch Phú Thọ
395,DSS,CTCP Đường sắt Sài Gòn
396,DST,CTCP Đầu tư Sao Thăng Long
397,DSV,CTCP Đường sắt Vĩnh Phú
398,DT4,CTCP Quản lý Bảo trì Đường thủy Nội địa Số 4
399,DTA,CTCP Đệ Tam
400,DTB,CTCP Công trình Đô thị Bảo Lộc
401,DTC,CTCP Viglacera Đông Triều
402,DTD,CTCP Đầu tư Phát triển Thành Đạt
403,DTE,CTCP Đầu tư Năng lượng Đại Trường Thành Holdings
404,DTG,CTCP Dược phẩm Tipharco
405,DTI,CTCP Đầu tư Đức Trung
406,DTK,Tổng Công ty Điện lực TKV - CTCP
407,DTL,CTCP Đại Thiên Lộc
