,codes,names
518,GVR,Tập đoàn Công nghiệp Cao su Việt Nam - CTCP
519,GVT,CTCP Giấy Việt Trì
520,H11,CTCP Xây dựng HUD101
521,HAB,CTCP Sách và Thiết bị Trường học Hà Nội
522,HAC,CTCP Chứng khoán Hải Phòng
523,HAD,CTCP Bia Hà Nội - Hải Dương
524,HAF,CTCP Thực phẩm Hà Nội
525,HAG,CTCP Hoàng Anh Gia Lai
526,HAH,CTCP Vận tải và Xếp dỡ Hải An
527,HAI,CTCP Nông dược H.A.I
528,HAM,CTCP Vật tư Hậu Giang
529,HAN,Tổng Công ty Xây dựng Hà Nội - CTCP
530,HAP,CTCP Tập đoàn Hapaco
531,HAR,CTCP Đầu tư Thương mại Bất động sản An Dương Thảo Điền
532,HAS,CTCP Hacisco
533,HAT,CTCP Thương mại Bia Hà Nội
534,HAV,CTCP Rượu Hapro
535,HAW,Trung tâm Nước sạch và Vệ sinh môi trường nông thôn
536,HAX,CTCP Dịch vụ Ô tô Hàng Xanh
537,HBC,CTCP Tập đoàn Xây dựng Hòa Bình
538,HBD,CTCP Bao Bì PP Bình Dương
539,HBE,CTCP Sách thiết bị Trường học Hà Tĩnh
540,HBH,CTCP Habeco - Hải Phòng
541,HBS,CTCP Chứng khoán Hòa Bình
542,HBW,CTCP Nước sạch Hòa Bình
543,HC1,CTCP Xây dựng Số 1 Hà Nội
544,HC3,CTCP Xây dựng Số 3 Hải Phòng
545,HCB,CTCP Dệt may 29/3
546,HCC,CTCP Bê tông Hòa Cầm - Intimex
547,HCD,CTCP Đầu tư Sản xuất và Thương mại HCD
548,HCI,CTCP Đầu tư Xây dựng Hà Nội
549,HCM,CTCP Chứng khoán Thành phố Hồ Chí Minh
550,HCS,CTCP Thông tin Tín hiệu Đường sắt Hà Nội
551,HCT,CTCP Thương mại Dịch vụ Vận tải Xi măng Hải Phòng
552,HD2,CTCP Đầu tư Phát triển Nhà HUD2
553,HD6,CTCP Đầu tư và Phát triển Nhà Số 6 Hà Nội
554,HD8,CTCP Đầu tư Phát triển Nhà và Đô thị HUD8
555,HDA,CTCP Hãng sơn Đông Á
556,HDB,Ngân hàng TMCP Phát triển TPHCM
557,HDC,CTCP Phát triển Nhà Bà Rịa - Vũng Tàu
558,HDG,CTCP Tập đoàn Hà Đô
559,HDM,CTCP Dệt may Huế
560,HDO,CTCP Hưng Đạo Container
561,HDP,CTCP Dược Hà Tĩnh
562,HDW,CTCP Kinh doanh Nước sạch Hải Dương
563,HEC,CTCP Tư vấn Xây dựng Thủy Lợi II
564,HEJ,Tổng Công ty Tư vấn Xây dựng Thủy lợi Việt Nam - CTCP
565,HEM,CTCP Chế tạo Điện Cơ Hà Nội
566,HEP,CTCP Môi trường và Công trình Đô thị Huế
567,HES,CTCP Dịch vụ Giải trí Hà Nội
568,HEV,CTCP Sách Đại học Dạy nghề
569,HFB,CTCP Công trình Cầu phà Thành phố Hồ Chí Minh
570,HFC,CTCP Xăng dầu HFC
571,HFS,CTCP Thương mại Dịch vụ Thời trang Hà Nội
572,HFX,CTCP Sản xuất - Xuất nhập khẩu Thanh Hà
573,HGA,Trung tâm Giống Nông nghiệp tỉnh Hậu Giang
574,HGC,Trung tâm Quy hoạch - Kiến trúc tỉnh Hậu Giang
575,HGM,CTCP Cơ khí và Khoáng sản Hà Giang
576,HGR,CTCP Tài nguyên và Môi trường Hậu Giang
577,HGT,CTCP Du lịch Hương Giang
578,HGW,CTCP Cấp thoát nước - Công trình Đô thị Hậu Giang
579,HHC,CTCP Bánh kẹo Hải Hà
580,HHG,CTCP Hoàng Hà
581,HHN,CTCP Vận tải và Dịch vụ Hàng hóa Hà Nội
582,HHP,CTCP Giấy Hoàng Hà Hải Phòng
583,HHR,CTCP Đường sắt Hà Hải
584,HHS,CTCP Đầu tư Dịch vụ Hoàng Huy
585,HHV,CTCP Đầu tư Hạ tầng Giao thông Đèo Cả
586,HID,CTCP Halcom Việt Nam
587,HIG,CTCP Tập đoàn HIPT
588,HII,CTCP An Tiến Industries
589,HIZ,CTCP Khu Công nghiệp Hố Nai
590,HJC,CTCP Hòa Việt
591,HJS,CTCP Thủy điện Nậm Mu
592,HKB,CTCP Nông nghiệp và Thực phẩm Hà Nội - Kinh Bắc
593,HKC,CTCP Dệt kim Hà Nội
594,HKP,CTCP Bao bì Hà Tiên
595,HKT,CTCP Đầu tư Ego Việt Nam
596,HLA,CTCP Hữu Liên Á Châu
597,HLB,CTCP Bia và Nước giải khát Hạ Long
598,HLC,CTCP Than Hà Lầm - Vinacomin
599,HLD,CTCP Đầu tư và Phát triển Bất động sản HUDLAND
600,HLE,CTCP Điện Chiếu sáng Hải Phòng
601,HLG,CTCP Tập đoàn Hoàng Long
602,HLR,CTCP Đường sắt Hà Lạng
603,HLS,CTCP Sứ Kỹ thuật Hoàng Liên Sơn
604,HLT,CTCP Dệt may Hoàng Thị Loan
605,HLY,CTCP Viglacera Hạ Long I
606,HMC,CTCP Kim khí Thành phố Hồ Chí Minh - Vnsteel
607,HMG,CTCP Kim khí Hà Nội - VNSTEEL
608,HMH,CTCP Hải Minh
609,HMS,CTCP Xây dựng Bảo tàng Hồ Chí Minh
610,HNA,CTCP Thủy điện Hủa Na
611,HNB,CTCP Bến xe Hà Nội
612,HND,CTCP Nhiệt điện Hải Phòng
613,HNE,CTCP Hanel
614,HNF,CTCP Thực phẩm Hữu Nghị
615,HNG,CTCP Nông nghiệp Quốc tế Hoàng Anh Gia Lai
616,HNI,CTCP May Hữu Nghị
617,HNM,CTCP Sữa Hà Nội
618,HNP,CTCP Hanel Xốp nhựa
619,HNR,CTCP Rượu và Nước giải khát Hà Nội
620,HNT,CTCP Xe điện Hà Nội
621,HOM,CTCP Xi măng VICEM Hoàng Mai
622,HOT,CTCP Du lịch Dịch vụ Hội An
623,HPB,CTCP Bao bì PP
624,HPD,CTCP Thủy điện ĐăK Đoa
625,HPG,CTCP Tập đoàn Hòa Phát
626,HPH,CTCP Hóa Chất Hưng Phát Hà Bắc
627,HPI,CTCP Khu công nghiệp Hiệp Phước
628,HPM,CTCP Xây dựng Thương mại và Khoáng Sản Hoàng Phúc
629,HPP,CTCP Sơn Hải Phòng
630,HPT,CTCP Dịch vụ Công nghệ Tin học HPT
631,HPU,CTCP 28 Hưng Phú
632,HPW,CTCP Cấp nước Hải Phòng
633,HPX,CTCP Đầu tư Hải Phát
634,HQC,CTCP Tư vấn Thương mại Dịch vụ Địa Ốc Hoàng Quân
635,HRB,CTCP Harec Đầu tư và Thương mại
636,HRC,CTCP Cao su Hòa Bình
637,HRT,CTCP Vận tải Đường sắt Hà Nội
638,HSA,CTCP Hestia
639,HSG,CTCP Tập đoàn Hoa Sen
640,HSI,CTCP Vật tư Tổng hợp và Phân bón Hóa Sinh
641,HSL,CTCP Đầu tư Phát triển Thực phẩm Hồng Hà
642,HSM,Tổng Công ty cổ phần Dệt may Hà Nội
643,HSP,CTCP Sơn Tổng hợp Hà Nội
644,HT1,CTCP Xi măng Hà Tiên 1
645,HTC,CTCP Thương mại Hóc Môn
646,HTE,CTCP Đầu tư Kinh doanh Điện lực Thành phố Hồ Chí Minh
647,HTG,Tổng Công ty cổ phần Dệt may Hòa Thọ
648,HTI,CTCP Đầu tư Phát triển Hạ tầng IDICO
649,HTK,CTCP Đăng kiểm xe cơ giới Hải Dương
650,HTL,CTCP Kỹ thuật và Ôtô Trường Long
651,HTM,Tổng Công ty Thương mại Hà Nội - CTCP
652,HTN,CTCP Hưng Thịnh Incons
653,HTP,CTCP In Sách Giáo khoa Hòa Phát
654,HTR,CTCP Đường sắt Hà Thái
655,HTT,CTCP Thương mại Hà Tây
656,HTU,CTCP Môi trường và Công trình đô thị Hà Tĩnh
657,HTV,CTCP Vận tải Hà Tiên
658,HTW,CTCP Cấp nước Hà Tĩnh
659,HU1,CTCP Đầu tư và Xây dựng HUD1
660,HU3,CTCP Đầu tư và Xây dựng HUD3
661,HU4,CTCP Đầu tư và Xây dựng HUD4
662,HU6,CTCP Đầu tư Phát triển Nhà và Đô thị HUD6
663,HUB,CTCP Xây lắp Thừa Thiên Huế
664,HUG,Tổng Công ty May Hưng Yên - CTCP
665,HUT,CTCP Tasco
666,HUX,CTCP Khoáng sản Thừa Thiên Huế
667,HVA,CTCP Đầu tư HVA
668,HVG,CTCP Hùng Vương
669,HVH,CTCP Đầu tư và Công nghệ HVC
670,HVN,Tổng Công ty Hàng không Việt Nam - CTCP
671,HVT,CTCP Hóa chất Việt Trì
672,HVX,CTCP Xi măng VICEM Hải Vân
673,HWS,CTCP Cấp nước Thừa Thiên Huế
674,I10,CTCP Đầu tư Xây dựng Số 10 IDICO
675,IBC,CTCP Đầu tư Apax Holdings
676,IBD,CTCP In Tổng hợp Bình Dương
677,ICC,CTCP Xây dựng Công nghiệp (ICC)
678,ICF,CTCP Đầu tư Thương mại Thủy sản
679,ICG,CTCP Xây dựng Sông Hồng
680,ICI,CTCP Đầu tư và Xây dựng Công nghiệp
681,ICN,CTCP Đầu tư Xây dựng Dầu khí IDICO
682,ICT,CTCP Viễn thông - Tin học Bưu điện
683,IDC,Tổng Công ty IDICO – CTCP
684,IDI,CTCP Đầu tư và Phát triển Đa Quốc Gia - IDI
685,IDJ,CTCP Đầu tư IDJ Việt Nam
686,IDP,CTCP Sữa Quốc tế
687,IDV,CTCP Phát triển Hạ tầng Vĩnh Phúc
688,IFC,CTCP Thực phẩm Công nghệ Sài Gòn
689,IFS,CTCP Thực phẩm Quốc tế
690,IHK,CTCP In Hàng Không
691,IJC,CTCP Phát triển Hạ tầng Kỹ thuật
692,IKH,CTCP In Khoa học Kỹ thuật
693,ILA,CTCP ILA
694,ILB,CTCP ICD Tân Cảng - Long Bình
695,ILC,CTCP Hợp tác Lao động với nước ngoài
696,ILS,CTCP Đầu tư Thương mại và Dịch vụ Quốc tế
697,IME,CTCP Cơ khí và Xây lắp Công nghiệp
698,IMP,CTCP Dược phẩm Imexpharm
699,IN4,CTCP In Số 4
700,INC,CTCP Tư vấn Đầu tư IDICO
701,INN,CTCP Bao bì và In Nông nghiệp
702,IPA,CTCP Tập đoàn Đầu tư I.P.A
703,IPH,CTCP In và Phát hành biểu mẫu Thống kê
704,IRC,CTCP Cao su Công nghiệp
705,ISG,CTCP Vận tải biển và Hợp tác Lao động Quốc tế
706,ISH,CTCP Thủy điện Srok Phu Miêng IDICO
707,IST,CTCP ICD Tân Cảng Sóng Thần
708,ITA,CTCP Đầu tư và Công nghiệp Tân Tạo
709,ITC,CTCP Đầu tư và Kinh doanh Nhà
710,ITD,CTCP Công nghệ Tiên Phong
711,ITQ,CTCP Tập đoàn Thiên Quang
712,ITS,CTCP Đầu tư Thương mại và Dịch vụ - Vinacomin
713,IVS,CTCP Chứng khoán Đầu tư Việt Nam
714,JOS,CTCP Chế biến Thủy sản xuất khẩu Minh Hải
715,JVC,CTCP Thiết bị Y tế Việt Nhật
716,KAC,CTCP Đầu tư Địa ốc Khang An
717,KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP
718,KBE,CTCP Sách Thiết bị Trường học Kiên Giang
719,KCB,CTCP khoáng Sản và Luyện Kim Cao Bằng
720,KCE,CTCP Bê tông Ly tâm Điện Lực Khánh Hòa
721,KDC,CTCP Tập đoàn KIDO
722,KDH,CTCP Đầu tư và Kinh doanh Nhà Khang Điền
723,KDM,CTCP Tập đoàn Đầu Tư Lê Gia
724,KGM,CTCP Xuất nhập khẩu Kiên Giang
725,KHA,CTCP Đầu tư và Dịch vụ Khánh Hội
726,KHB,CTCP Khoáng sản Hòa Bình
727,KHD,CTCP Khai thác Chế biến Khoáng sản Hải Dương
728,KHL,CTCP khoáng Sản và Vật liệu Xây dựng Hưng Long
729,KHP,CTCP Điện lực Khánh Hòa
730,KHS,CTCP Kiên Hùng
731,KHW,CTCP Cấp thoát nước Khánh Hòa
732,KIP,CTCP K.I.P Việt Nam
733,KKC,CTCP Kim Khí KKC
734,KLB,Ngân hàng TMCP Kiên Long
735,KLF,CTCP Đầu tư Thương mại và Xuất nhập khẩu CFS
736,KLM,CTCP Kim loại màu Nghệ Tĩnh
737,KMR,CTCP Mirae
738,KMT,CTCP Kim khí Miền Trung
739,KOS,CTCP KOSY
740,KPF,CTCP Đầu tư Tài chính Hoàng Minh
741,KSB,CTCP Khoáng sản và Xây dựng Bình Dương
742,KSD,CTCP Đầu tư DNA
743,KSE,CTCP Xuất khẩu Thủy sản Khánh Hòa
744,KSH,CTCP DAMAC GLS
745,KSK,CTCP Khoáng sản Luyện kim màu
746,KSQ,CTCP CNC Capital Việt Nam
747,KST,CTCP KASATI
748,KSV,Tổng Công ty Khoáng sản TKV - CTCP
749,KTB,CTCP Đầu tư Khoáng sản Tây Bắc
750,KTC,CTCP Thương mại Kiên Giang
751,KTL,CTCP Kim Khí Thăng Long
752,KTS,CTCP Đường Kon Tum
753,KTT,CTCP Tập đoàn Đầu tư KTT
754,KVC,CTCP Sản xuất Xuất nhập khẩu Inox Kim Vĩ
755,L10,CTCP Lilama 10
756,L12,CTCP Licogi 12
757,L14,CTCP Licogi 14
758,L18,CTCP Đầu tư và Xây dựng Số 18
759,L35,CTCP Cơ khí Lắp máy Lilama
760,L40,CTCP Đầu Tư và Xây dựng 40
761,L43,CTCP Lilama 45.3
762,L44,CTCP Lilama 45.4
763,L45,CTCP Lilama 45.1
764,L61,CTCP Lilama 69-1
765,L62,CTCP Lilama 69-2
766,L63,CTCP Lilama 69-3
767,LAF,CTCP Chế biến hàng Xuất khẩu Long An
768,LAI,CTCP Đầu Tư Xây dựng Long An IDICO
769,LAS,CTCP Supe Phốt phát và Hóa chất Lâm Thao
770,LAW,CTCP Cấp thoát nước Long An
771,LBC,CTCP Thương mại - Đầu tư Long Biên
772,LBE,CTCP Sách và Thiết bị Trường học Long An
773,LBM,CTCP Khoáng sản và Vật liệu Xây dựng Lâm Đồng
774,LCC,CTCP Xi măng Hồng Phong
775,LCD,CTCP Lắp máy - Thí nghiệm Cơ điện
776,LCG,CTCP Licogi 16
777,LCM,CTCP Khai thác và Chế biến khoáng sản Lào Cai
778,LCS,CTCP Licogi 166
779,LCW,CTCP Nước sạch Lai Châu
780,LDG,CTCP Đầu tư LDG
781,LDP,CTCP Dược Lâm Đồng - Ladophar
782,LDW,CTCP Cấp thoát nước Lâm Đồng
783,LEC,CTCP Bất động sản Điện lực Miền Trung
784,LG9,CTCP Cơ giới và Xây lắp Số 9
785,LGC,CTCP Đầu tư Cầu đường CII
786,LGL,CTCP Đầu tư và Phát triển Đô thị Long Giang
787,LGM,CTCP Giày da và May mặc Xuất khẩu
788,LHC,CTCP Đầu tư và Xây dựng Thủy lợi Lâm Đồng
789,LHG,CTCP Long Hậu
790,LIC,Tổng Công ty LICOGI - CTCP
791,LIG,CTCP Licogi 13
792,LIX,CTCP Bột Giặt Lix
793,LKW,CTCP Cấp nước Long Khánh
794,LLM,Tổng Công ty Lắp máy Việt Nam - CTCP
795,LM3,CTCP Lilama 3
796,LM7,CTCP Lilama 7
797,LM8,CTCP Lilama 18
798,LMC,CTCP Khoáng sản Latca
799,LMH,CTCP Landmark Holding
800,LMI,CTCP Đầu tư Xây dựng Lắp máy IDICO
801,LNC,CTCP Lệ Ninh
802,LO5,CTCP Lilama 5
803,LPB,Ngân hàng TMCP Bưu điện Liên Việt
804,LQN,CTCP Licogi Quảng Ngãi
805,LSS,CTCP Mía Đường Lam Sơn
806,LTC,CTCP Điện nhẹ Viễn Thông
807,LTG,CTCP Tập đoàn Lộc Trời
808,LUT,CTCP Đầu tư Xây dựng Lương Tài
809,LWS,CTCP Cấp nước Tỉnh Lào Cai
810,M10,Tổng Công ty May 10 - CTCP
811,MA1,CTCP Thiết bị
812,MAC,CTCP Cung ứng và Dịch vụ Kỹ thuật Hàng Hải
813,MAS,CTCP Dịch vụ Hàng không Sân bay Đà Nẵng
814,MBB,Ngân hàng TMCP Quân Đội
815,MBG,CTCP Tập đoàn MBG
816,MBN,CTCP Môi trường và Công trình đô thị Bắc Ninh
817,MBS,CTCP Chứng khoán MB
818,MC3,CTCP Khoáng sản 3 - Vimico
819,MCC,CTCP Gạch ngói Cao cấp
820,MCF,CTCP Xây lắp Cơ khí và Lương thực Thực phẩm
821,MCG,CTCP Cơ điện và Xây dựng Việt Nam
822,MCH,CTCP Hàng tiêu dùng Masan
823,MCI,CTCP Đầu tư Xây dựng và Phát triển Vật liệu IDICO
824,MCM,CTCP Giống Bò sữa Mộc Châu
825,MCO,CTCP Đầu tư và Xây dựng BDC Việt Nam
826,MCP,CTCP In và Bao bì Mỹ Châu
827,MCT,CTCP Kinh doanh Vật Tư và Xây dựng
828,MDA,CTCP Môi trường Đô thị Đông Anh
829,MDC,CTCP Than Mông Dương - Vinacomin
830,MDF,CTCP Gỗ MDF VRG - Quảng Trị
831,MDG,CTCP Miền Đông
832,MEC,CTCP Cơ khí - Lắp máy Sông Đà
833,MED,CTCP Dược Trung ương Mediplantex
834,MEF,CTCP MEINFA
835,MEG,CTCP Megram
836,MEL,CTCP Thép Mê Lin
837,MES,CTCP Cơ điện Công trình
838,MFS,CTCP Dịch vụ Kỹ thuật Mobifone
839,MGC,CTCP Địa chất mỏ - TKV
840,MGG,Tổng Công ty Đức Giang - CTCP
841,MH3,CTCP Khu Công nghiệp Cao su Bình Long
842,MHC,CTCP MHC
843,MHL,CTCP Minh Hữu Liên
844,MHP,CTCP Môi trường và Dịch vụ Đô thị Việt Trì
845,MHY,CTCP Môi trường và Công trình Đô thị Hưng Yên
846,MIC,CTCP Kỹ nghệ Khoáng sản Quảng Nam
847,MIE,Tổng Công ty Máy và Thiết bị Công nghiệp - CTCP
848,MIG,Tổng Công ty cổ phần Bảo hiểm Quân Đội
849,MIM,CTCP Khoáng sản và Cơ khí
850,MKP,CTCP Hoá - Dược phẩm Mekophar
851,MKV,CTCP Dược thú Y Cai Lậy
852,MLC,CTCP Môi trường Đô thị Tỉnh Lào Cai
853,MLS,CTCP Chăn nuôi - Mitraco
854,MML,CTCP Masan MeatLife
855,MNB,Tổng Công ty May Nhà Bè - CTCP
856,MND,CTCP Môi trường Nam Định
857,MPC,CTCP Tập đoàn Thủy sản Minh Phú
858,MPT,CTCP Tập đoàn Trường Tiền
859,MPY,CTCP Môi trường Đô thị Phú Yên
860,MQB,CTCP Môi trường và Phát triển Đô thị Quảng Bình
861,MQN,CTCP Môi trường đô thị Quảng Ngãi
862,MRF,CTCP Merufa
863,MSB,Ngân hàng TMCP Hàng hải Việt Nam
864,MSH,CTCP May Sông Hồng
865,MSN,CTCP Tập đoàn Masan
866,MSR,CTCP Masan High-Tech Materials
867,MST,CTCP Đầu tư MST
868,MTA,Tổng Công ty Khoáng sản và Thương mại Hà Tĩnh - CTCP
869,MTB,CTCP Môi trường và Công trình Đô thị Tỉnh Thái Bình
870,MTC,CTCP Dịch vụ Du lịch Mỹ Trà
871,MTG,CTCP MT Gas
872,MTH,CTCP Môi trường Đô thị Hà Đông
873,MTL,CTCP Dịch vụ Môi trường Đô thị Từ Liêm
874,MTM,CTCP mỏ và Xuất nhập khẩu Khoáng sản Miền Trung
875,MTP,CTCP Dược Medipharco
876,MTS,CTCP Vật tư - TKV
877,MTV,CTCP Dịch vụ Môi trường và Công trình Đô thị Vũng Tàu
878,MVB,Tổng Công ty Công nghiệp mỏ Việt Bắc TKV - CTCP
879,MVC,CTCP Vật liệu và Xây dựng Bình Dương
880,MVN,Tổng Công ty Hàng hải Việt Nam - CTCP
881,MVY,CTCP Môi trường và Dịch vụ Đô Thị Vĩnh Yên
882,MWG,CTCP Đầu tư Thế giới Di động
883,MXC,Trung tâm Nông nghiệp Mùa Xuân
884,NAB,Ngân hàng TMCP Nam Á
885,NAC,CTCP Tư vấn Xây dựng Tổng hợp
886,NAF,CTCP Nafoods Group
887,NAG,CTCP Tập đoàn Nagakawa
888,NAP,CTCP Cảng Nghệ Tĩnh
889,NAS,CTCP Dịch vụ Hàng không Sân bay Nội Bài
890,NAU,CTCP Môi trường Đô thị Nghệ An
891,NAV,CTCP Nam Việt
892,NAW,CTCP Cấp nước Nghệ An
893,NBB,CTCP Đầu tư Năm Bảy Bảy
894,NBC,CTCP Than Núi Béo - Vinacomin
895,NBE,CTCP Sách và Thiết bị Giáo dục Miền Bắc
896,NBP,CTCP Nhiệt điện Ninh Bình
897,NBR,CTCP Đường sắt Nghĩa Bình
898,NBT,CTCP Cấp thoát nước Bến Tre
899,NBW,CTCP Cấp nước Nhà Bè
900,NCP,CTCP Nhiệt điện Cẩm Phả - TKV
901,NCS,CTCP Suất ăn Hàng không Nội Bài
902,NCT,CTCP Dịch vụ Hàng hóa Nội Bài
903,ND2,CTCP Đầu tư và Phát triển Điện Miền Bắc 2
904,NDC,CTCP Nam Dược
905,NDF,CTCP Chế biến Thực phẩm Nông sản xuất khẩu Nam Định
906,NDN,CTCP Đầu tư Phát triển Nhà Đà Nẵng
907,NDP,CTCP Dược phẩm 2/9
908,NDT,Tổng Công ty cổ phần Dệt May Nam Định
909,NDW,CTCP Cấp nước Nam Định
910,NDX,CTCP Xây lắp Phát triển Nhà Đà Nẵng
911,NED,CTCP Đầu tư và Phát triển Điện Tây Bắc
912,NET,CTCP Bột giặt NET
913,NFC,CTCP Phân lân Ninh Bình
914,NGC,CTCP Chế biến Thủy sản xuất khẩu Ngô Quyền
915,NHA,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội
916,NHC,CTCP Gạch ngói Nhị Hiệp
917,NHH,CTCP Nhựa Hà Nội
918,NHP,CTCP Sản xuất Xuất nhập khẩu NHP
919,NHT,CTCP Sản xuất và Thương mại Nam Hoa
920,NHV,CTCP Đầu tư NHV
921,NJC,CTCP May Nam Định
922,NKG,CTCP Thép Nam Kim
923,NLG,CTCP Đầu tư Nam Long
924,NLS,CTCP Cấp thoát nước Lạng Sơn
925,NMK,CTCP Xây dựng Công trình 510
926,NNB,CTCP Cấp thoát nước Ninh Bình
927,NNC,CTCP Đá Núi Nhỏ
928,NNG,CTCP Công nghiệp - Dịch vụ - Thương mại Ngọc Nghĩa
929,NNQ,CTCP Giống Nông nghiệp Quảng Nam
930,NNT,CTCP Cấp nước Ninh Thuận
931,NOS,CTCP Vận tải biển và Thương mại Phương Đông
932,NQB,CTCP Cấp nước Quảng Bình
933,NQN,CTCP Nước sạch Quảng Ninh
934,NQT,CTCP Nước sạch Quảng Trị
935,NRC,CTCP Tập Đoàn Danh Khôi
936,NS2,CTCP Nước sạch Số 2 Hà Nội
937,NS3,CTCP Sản xuất Kinh doanh Nước sạch Số 3 Hà Nội
938,NSC,CTCP Tập đoàn Giống cây trồng Việt Nam
939,NSG,CTCP Nhựa Sài Gòn
940,NSH,CTCP Nhôm Sông Hồng
941,NSL,CTCP Cấp nước Sơn La
942,NSS,CTCP Nông Súc Sản Đồng Nai
943,NST,CTCP Ngân Sơn
944,NT2,CTCP Điện lực Dầu khí Nhơn Trạch 2
945,NTB,CTCP Đầu tư Xây dựng và Khai thác Công trình Giao thông 584
946,NTC,CTCP Khu Công nghiệp Nam Tân Uyên
947,NTF,CTCP Dược - Vật tư Y tế Nghệ An
948,NTH,CTCP Thủy điện Nước Trong
949,NTL,CTCP Phát triển Đô thị Từ Liêm
950,NTP,CTCP Nhựa Thiếu niên Tiền Phong
951,NTR,CTCP Đường sắt Nghệ Tĩnh
952,NTT,CTCP Dệt - May Nha Trang
953,NTW,CTCP Cấp nước Nhơn Trạch
954,NUE,CTCP Môi trường Đô thị Nha Trang
955,NVB,Ngân hàng TMCP Quốc Dân
956,NVL,CTCP Tập đoàn Đầu tư Địa ốc No Va
957,NVP,CTCP Nước sạch Vĩnh Phúc
958,NVT,CTCP Bất động sản Du lịch Ninh Vân Bay
959,NWT,CTCP Vận tải Newway
960,OCB,Ngân hàng TMCP Phương Đông
961,OCH,CTCP Khách sạn và Dịch vụ OCH
962,OGC,CTCP Tập đoàn Đại Dương
963,OIL,Tổng Công ty Dầu Việt Nam - CTCP
964,ONE,CTCP Truyền thông Số 1
965,ONW,CTCP Dịch vụ Một Thế Giới
966,OPC,CTCP Dược phẩm OPC
967,ORS,CTCP Chứng khoán Tiên Phong
968,PAC,CTCP Pin Ắc quy Miền Nam
969,PAI,CTCP Công nghệ thông tin Viễn thông và Tự động hóa Dầu Khí
970,PAN,CTCP Tập đoàn Pan
971,PAS,CTCP Quốc tế Phương Anh
972,PBC,CTCP Dược phẩm Trung Ương 1- Pharbaco
973,PBP,CTCP Bao bì Dầu khí Việt Nam
974,PBT,CTCP Nhà và Thương mại Dầu khí
975,PC1,CTCP Xây lắp Điện I
976,PCC,CTCP Tập đoàn Xây lắp 1 - Petrolimex
977,PCE,CTCP Phân bón và Hóa chất Dầu khí Miền Trung
978,PCF,CTCP Cà phê PETEC
979,PCG,CTCP Đầu tư Phát triển Gas Đô thị
980,PCM,CTCP Vật liệu Xây dựng Bưu điện
981,PCN,CTCP Hóa phẩm Dầu khí DMC - Miền Bắc
982,PCT,CTCP Vận tải Khí và Hoá chất Việt Nam
983,PDB,CTCP Vật liệu Xây dựng DUFAGO
984,PDC,CTCP Du lịch Dầu khí Phương Đông
985,PDN,CTCP Cảng Đồng Nai
986,PDR,CTCP Phát triển Bất động sản Phát Đạt
987,PDT,CTCP Thương mại Dầu khí Đồng Tháp
988,PDV,CTCP Vận tải Dầu Phương Đông Việt
989,PEC,CTCP Cơ khí Điện lực
990,PEG,Tổng Công ty Thương mại Kỹ thuật và Đầu tư - CTCP
991,PEN,CTCP Xây lắp III Petrolimex
992,PEQ,CTCP Thiết bị Xăng dầu Petrolimex
993,PET,Tổng Công ty cổ phần Dịch vụ Tổng hợp Dầu khí
994,PFL,CTCP Dầu khí Đông Đô
995,PGB,Ngân hàng TMCP Xăng dầu Petrolimex
996,PGC,Tổng Công ty Gas Petrolimex - CTCP
997,PGD,CTCP Phân phối khí thấp áp Dầu khí Việt Nam
998,PGI,Tổng Công ty cổ phần Bảo hiểm Petrolimex
999,PGN,CTCP Phụ Gia Nhựa
1000,PGS,CTCP Kinh doanh Khí Miền Nam
1001,PGT,CTCP PGT Holdings
1002,PGV,Tổng Công ty Phát điện 3 - CTCP
1003,PHC,CTCP Xây dựng Phục Hưng Holdings
1004,PHH,CTCP Hồng Hà Việt Nam
1005,PHN,CTCP Pin Hà Nội
1006,PHP,CTCP Cảng Hải Phòng
1007,PHR,CTCP Cao su Phước Hòa
1008,PHS,CTCP Chứng khoán Phú Hưng
1009,PIA,CTCP Tin học Viễn thông Petrolimex
1010,PIC,CTCP Đầu tư Điện lực 3
1011,PID,CTCP Trang Trí Nội Thất Dầu khí
1012,PIS,Tổng Công ty Pisico Bình Định - CTCP
1013,PIT,CTCP Xuất nhập khẩu Petrolimex
1014,PIV,CTCP PIV
1015,PJC,CTCP Thương mại và Vận tải Petrolimex Hà Nội
1016,PJS,CTCP Cấp nước Phú Hòa Tân
1017,PJT,CTCP Vận tải Xăng dầu đường Thủy Petrolimex
1018,PKR,CTCP Đường sắt Phú Khánh
1019,PLA,CTCP Đầu tư và Dịch vụ Hạ tầng Xăng dầu
1020,PLC,Tổng Công ty Hóa dầu Petrolimex - CTCP
1021,PLE,CTCP Tư vấn Xây dựng Petrolimex
1022,PLO,CTCP Kho Vận Petec
1023,PLP,CTCP Sản xuất và Công nghệ Nhựa Pha Lê
1024,PLX,Tập đoàn Xăng Dầu Việt Nam
1025,PMB,CTCP Phân bón và Hóa chất Dầu khí Miền Bắc
1026,PMC,CTCP Dược phẩm Dược liệu Pharmedic
1027,PME,CTCP Pymepharco
1028,PMG,CTCP Đầu tư và Sản xuất Petro Miền Trung
1029,PMJ,CTCP Vật tư Bưu Điện
1030,PMP,CTCP Bao bì đạm Phú Mỹ
